phase,resource_type,resource_name,region,notes,created_date,verified
0,GCP Project,,,billing enabled,,
1,API,aiplatform.googleapis.com,global,step 01,,
1,ModelArmorTemplate,security-medium,,step 04 or org,,
1,ModelArmorTemplate,security-high,,step 04 or org,,
1,KMS Key,AGENT_ENGINE_KMS_KEY_SUPERVISOR,,versions.env,,
1,KMS Key,AGENT_ENGINE_KMS_KEY_CHAT,,versions.env,,
1,KMS Key,AGENT_ENGINE_KMS_KEY_ENGINEERING,,versions.env,,
1,KMS Key,AGENT_ENGINE_KMS_KEY_XRAY,,versions.env,,
1,KMS Key,AGENT_ENGINE_KMS_KEY_EVENTS,,versions.env,,
1,Firestore Database,xray-db,,step 07,,
1,ArtifactRegistry,prism-glass-ui,,step 09,,
1,BigQuery Dataset,prism_telemetry,,optional step 08,,
1,DiscoveryEngine DataStore,,,optional step 10,,
1,Secret,github-pat-token,,optional step 03,,
1,VPC-SC Perimeter,,,org or step 12,,
2,ReasoningEngine,supervisor,,deploy.sh,,
2,ReasoningEngine,chat,,deploy.sh,,
2,ReasoningEngine,eng_lead,,deploy.sh,,
2,ReasoningEngine,eng_scout,,deploy.sh,,
2,ReasoningEngine,eng_coder,,deploy.sh,,
2,ReasoningEngine,eng_quality_and_security_reviewer,,deploy.sh,,
2,ReasoningEngine,events,,deploy.sh,,
2,ReasoningEngine,xray_manager,,deploy.sh,,
2,ReasoningEngine,xray_librarian,,deploy.sh,,
2,ReasoningEngine,xray_architect,,deploy.sh,,
2,ReasoningEngine,xray_specialist,,deploy.sh,,
2,ReasoningEngine,xray_auditor,,deploy.sh,,
3,AgentGateway,,,manual workbook,,
3,AgentRegistry,,,manual,,
4,CloudRun,ai-prism-agent-glass-ui,,deploy-glass-ui.sh,,
6,HTTPS LB,,,manual,,
6,IAP,,,manual,,
